arrivee, depart 
24.004569, 25.861393
32.442060, 59.750357
33.085853, 38.190038
50.801344, 51.492117
62.662787, 71.727902
63.952281, 72.425260
68.679503, 74.316332
75.081887, 78.624946
85.324106, 98.133361
87.921948, 105.781688
89.210454, 99.269791
92.752285, 102.858134
105.957225, 117.945926
112.731173, 118.225003
113.686028, 117.435607
114.263952, 117.284924
119.054071, 144.693971
119.470368, 122.881198
121.638522, 123.516802
122.376356, 131.635884
123.916563, 142.242757
127.303641, 137.146079
129.540029, 139.459589
139.874944, 142.797493
143.944802, 149.597543
151.222675, 156.112824
151.310249, 153.369326
160.528630, 162.190469
161.917876, 163.299453
164.117361, 168.842381
166.181707, 170.043465
171.110325, 173.428386
179.636504, 0.000000
179.842331, 0.000000
